Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
22-Nov-24,Friday,November,Q4,2024,EQ,1072.60,1155.90,1054.00,1114.65,1138.00,1136.75,1108.59,1621.40,785.00,27086168.00,30027476076.45,671336.00
21-Nov-24,Thursday,November,Q4,2024,EQ,1160.70,1160.70,995.65,1289.65,1119.05,1114.65,1080.76,1621.40,785.00,46926687.00,50716319514.70,848188.00
19-Nov-24,Tuesday,November,Q4,2024,EQ,1285.00,1321.45,1282.00,1279.30,1287.20,1289.65,1304.76,1621.40,785.00,2631778.00,3433851541.55,90392.00
18-Nov-24,Monday,November,Q4,2024,EQ,1264.00,1288.90,1261.30,1264.55,1279.20,1279.30,1275.75,1621.40,785.00,1445637.00,1844272542.35,95416.00
14-Nov-24,Thursday,November,Q4,2024,EQ,1289.95,1296.65,1260.65,1287.90,1264.95,1264.55,1272.67,1621.40,785.00,2963013.00,3770932012.10,152378.00
13-Nov-24,Wednesday,November,Q4,2024,EQ,1322.00,1329.25,1284.85,1326.00,1287.35,1287.90,1301.38,1621.40,785.00,1437072.00,1870177239.25,94055.00
12-Nov-24,Tuesday,November,Q4,2024,EQ,1348.05,1354.80,1320.00,1347.90,1321.00,1326.00,1338.08,1621.40,785.00,1038042.00,1388987641.85,68992.00
11-Nov-24,Monday,November,Q4,2024,EQ,1355.10,1357.95,1339.05,1362.10,1342.75,1347.90,1348.28,1621.40,785.00,1269498.00,1711638901.85,74074.00
08-Nov-24,Friday,November,Q4,2024,EQ,1353.10,1367.30,1338.60,1353.10,1351.95,1362.10,1354.50,1621.40,785.00,1400491.00,1896971997.50,71278.00
07-Nov-24,Thursday,November,Q4,2024,EQ,1372.95,1372.95,1350.00,1370.00,1351.00,1353.10,1357.38,1621.40,785.00,1292794.00,1754811192.90,73071.00
06-Nov-24,Wednesday,November,Q4,2024,EQ,1330.00,1382.00,1315.20,1329.35,1372.20,1370.00,1348.32,1621.40,785.00,3645515.00,4915315246.10,103850.00
05-Nov-24,Tuesday,November,Q4,2024,EQ,1350.00,1353.05,1295.90,1349.25,1329.00,1329.35,1316.11,1621.40,785.00,4852958.00,6387025885.50,186297.00
04-Nov-24,Monday,November,Q4,2024,EQ,1394.20,1395.00,1336.00,1394.40,1349.00,1349.25,1351.15,1621.40,785.00,1700308.00,2297374190.50,102642.00
01-Nov-24,Friday,November,Q4,2024,EQ,1386.50,1397.95,1378.40,1375.95,1394.10,1394.40,1393.15,1621.40,767.20,243881.00,339761791.80,13788.00
31-Oct-24,Thursday,October,Q4,2024,EQ,1407.95,1408.00,1372.10,1396.20,1376.00,1375.95,1381.31,1621.40,767.20,1891761.00,2613117369.65,76316.00
30-Oct-24,Wednesday,October,Q4,2024,EQ,1379.95,1414.90,1358.05,1372.70,1393.50,1396.20,1396.56,1621.40,767.20,2526884.00,3528934693.50,88072.00
29-Oct-24,Tuesday,October,Q4,2024,EQ,1364.70,1377.45,1322.00,1352.20,1377.00,1372.70,1352.39,1621.40,767.20,3790528.00,5126269977.10,178528.00
28-Oct-24,Monday,October,Q4,2024,EQ,1326.85,1364.10,1303.15,1318.70,1356.05,1352.20,1341.34,1621.40,767.20,2126411.00,2852231410.20,110924.00
25-Oct-24,Friday,October,Q4,2024,EQ,1360.00,1368.00,1304.15,1354.40,1323.00,1318.70,1318.68,1621.40,754.50,2078274.00,2740582098.80,109779.00
24-Oct-24,Thursday,October,Q4,2024,EQ,1345.00,1359.00,1336.20,1340.45,1357.00,1354.40,1350.24,1621.40,754.50,1115993.00,1506858749.75,76893.00
